alpha,Cl,Cd,Cm
-16.143201559243792,-0.4557789666111964,0.012001877177616537,
-15.219416067376311,-1.1239810268028134,,-0.0660138654642662
-14.202521238383346,-1.0730348929442135,,-0.06948135061370132
-13.188974475931392,-1.0059875862970027,0.026684662156186603,-0.0710665121056711
-12.147355206954906,-0.9305507855565152,0.02008612179564621,-0.07309295268382326
-11.218620261322606,-0.84111760199767,0.017565289235437823,-0.07556468000740729
-10.149243113775375,-0.7321154699448931,0.015515776122870051,-0.07893545087362665
-9.220717920112264,-0.6258983949067067,0.013868837842644432,-0.08113389970023614
-8.179588072397234,-0.5112991807144227,0.012650154864317873,-0.0827476977241122
-7.082138418325464,-0.3939075545683681,0.011385431258261077,-0.08551570071879286
-6.125575676799361,-0.2765036701903471,0.010704064875528496,-0.08712882994311097
-5.056303405236726,-0.1591095923978995,0.009795924374573252,-0.089861099140164
-4.099810581033683,-0.036111077526765,0.009005571061131222,-0.09146002709373911
-3.002291009638853,0.0756859181261755,0.009038275147092161,-0.09365201277839365
-1.9893735030944804,0.19308489921141,0.009253463930091669,-0.09416592291086787
-0.8919238490227137,0.3104765253574644,0.009723691682729043,-0.09512053267126516
0.0938532026888587,0.4278778678685047,0.009400098813002897,-0.09570234215324361
1.04941397520016,0.5424845272205554,0.009397774214817706,-0.09805474669727367
2.118791122747396,0.6514866592733328,0.00962240268277731,-0.09902593733418995
3.075388822935036,0.7660932284047963,0.009836037998128795,-0.0995088275283328
4.201085776838994,0.8778877724113441,0.00999466534292644,-0.10045583872814237
5.157683477026637,0.9924943415428078,0.010660236800040052,-0.10048122613656502
6.17060098357101,1.109893322628042,0.011492764970775345,-0.10048360305663813
7.127338518404773,1.2133106307732782,0.012162744909664293,-0.10001640476670307
8.168538283442874,1.3223152144724488,0.012628283955695332,-0.09951530279237542
9.153488159447315,1.4229327557247349,0.013070099454082409,-0.09859191691424432
10.194757841808473,1.5263427089307915,0.014051783182416965,-0.09762201801729765
11.208024934968169,1.6157685375504571,0.01634675115622924,-0.09559326258422095
12.22157169742012,1.6828158441976675,0.018719310387457944,-0.09423891962236489
13.207010994686012,1.7442709719981575,0.021899769711195807,-0.08881571143852457
14.299992791551135,1.7682327592384914,0.025460702142285217,
15.184461817585866,1.341285961246446,,
16.199651637129836,1.2768594513054836,,
17.18627952888782,1.2432058607230403,,
