aoa,Cl,Cd
-7.0,-0.3649088389508244,0.010820108712725979
-6.0,-0.24841732544790768,0.010282086199001748
-5.0,-0.13150652615084954,0.009887027712074671
-4.0,-0.014438807891299208,0.00961874024727924
-3.0,0.10249420360846498,0.009465585565157166
-2.0,0.21909021022087766,0.009417033228268817
-1.0,0.33522873952945437,0.009465023941827053
0.0,0.45064835868214365,0.009607844754675028
1.0,0.5652299768558535,0.00984483575939986
2.0,0.678777333373817,0.010176081199501065
3.0,0.791124217215545,0.010599418825157704
4.0,0.9020185774467162,0.011127751932379146
5.0,1.0113278372640235,0.011758834027844932
6.0,1.118697540739191,0.012508334402465243
7.0,1.223732383675084,0.013402621271588928
8.0,1.326066246630918,0.01443961662889457
9.0,1.425000793117446,0.015674626331815135
10.0,1.5197885389878032,0.017119641038448558
11.0,1.6094324188993971,0.01884587458705328
12.0,1.6926504335293338,0.020955303733794752
13.0,1.7677984488314633,0.02354195826471729
14.0,1.831568858618171,0.026923702944082147
15.0,1.8784006357576093,0.03170447941992733
16.0,1.8970874768703327,0.03917164068954006
17.0,1.8644219616484976,0.05243127266128197
18.0,1.771634624008098,0.07386742424973702
19.0,1.674772280869933,0.09784910550076702
20.0,1.59866181728322,0.12128557686350566
